file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
P30_sent062,0.0,5.1591875,P30,-39.27984025413424,-48.33453281947545,1.6261782246836396,11.781721651849443
P29_sent137,0.0,4.6064375,P29,-53.04161985974945,-66.45048565334744,1.6261782246836396,21.92201563619097
P26_sent191,0.0,4.0039375,P26,-59.603245720791456,-60.718635886056084,1.6261782246836396,10.641557585298239
P26_sent071,0.0,4.0029375,P26,-69.06671050565326,-69.9609050172748,1.6180988063761435,3.009463861232012
P30_sent058,0.0,5.2626875,P30,-38.94095151479008,-48.45550121980555,1.6180962030790722,12.759920705692295
P24_sent096,0.0,5.0029375,P24,-49.85318618222892,-59.33819913864136,1.6180962030790722,24.706302836071874
P25_sent039,0.0,4.002,P25,-45.99783585898241,-60.90616830190023,1.6151748448071408,24.136256277544504
P21_sent082,0.0,4.002,P21,-50.39170461683417,-58.35475855860217,1.6132025384736322,19.696589966445146
P28_sent196,0.0,4.6533125,P28,-51.077340375269976,-59.481299795755525,1.611640152987301,24.632675375685373
P28_sent166,0.0,4.069375,P28,-50.069526427469135,-62.23432344005954,1.6105691792246137,24.267220769163796
P30_sent184,0.0,6.51075,P30,-36.69533055662558,-50.66488747847708,1.599404913344476,13.199061870202879
P30_sent056,0.0,3.7109375,P30,-40.76764164126016,-51.38143210575498,1.5994016715138692,11.232301328589182
P29_sent099,0.0,6.3555,P29,-53.97951991324921,-63.1790579253552,1.5994016715138692,20.859518741784505
P26_sent027,0.0,4.0029375,P26,-56.97804451947236,-61.05313076692469,1.5994016715138692,16.546395650130556
P24_sent012,0.0,5.002,P24,-52.54723974021084,-64.45071456011604,1.5994016715138692,25.414209223982702
P22_sent088,0.0,5.0039375,P22,-49.34407159889558,-52.8903659473766,1.5994016715138692,14.533090333724642
P21_sent114,0.0,4.001,P21,-52.00327810929648,-59.8636438369751,1.5994016715138692,22.593203898800738
P30_sent100,0.0,4.51075,P30,-40.72624930400891,-51.597688098286476,1.5993984296832624,13.525416026442748
P22_sent090,0.0,5.002,P22,-53.6449155998996,-57.83816655476888,1.5993984296832624,16.165274352937413
P22_sent072,0.0,5.002,P22,-55.66509004769076,-59.00016381190373,1.5993984296832624,10.602770726379427
P27_sent119,0.0,4.5039375,P27,-53.07863071986607,-63.29433863871807,1.5794560229955497,19.43336779842599
P29_sent169,0.0,2.871125,P29,-45.99830386513158,-64.33256397247314,1.5640856193404207,25.446948203116982
P30_sent168,0.0,4.4385,P30,-39.80599989394796,-51.08348062303331,1.55774519799369,11.304333451780536
P28_sent088,0.0,4.359375,P28,-50.042869743663594,-60.237112157485065,1.5533660916984293,23.317248361523788
P28_sent092,0.0,4.1338125,P28,-55.60148646593674,-64.06264003630608,1.5533660916984293,22.02013009214884
P29_sent167,0.0,5.1758125,P29,-48.62043135295543,-64.95136720993939,1.5401743599130229,25.940206409179197
P25_sent199,0.0,4.001,P25,-50.769629396984925,-61.01458952162001,1.5401709603146956,22.939755623353673
P25_sent119,0.0,4.0039375,P25,-52.21174230527638,-62.38003592057662,1.540167560716368,26.352959479606888
P22_sent124,0.0,5.005875,P22,-51.698240230460925,-55.27003549274645,1.5361967995920343,18.359454795331303
P29_sent025,0.0,9.3633125,P29,-46.42959548982869,-64.32446336746216,1.5341833060097867,7.2638845723030485
P30_sent134,0.0,4.454125,P30,-38.179612549379236,-50.832057317097984,1.5332504483462515,11.639594803999078
P29_sent097,0.0,3.1953125,P29,-49.488643622248425,-65.32368977864583,1.5332504483462515,22.389718690734064
P30_sent186,0.0,5.2070625,P30,-42.805989583333336,-52.255186676979065,1.518138265449955,11.48819154030316
P26_sent197,0.0,4.004875,P26,-56.41631988065327,-59.505497233072916,1.51813451603609,18.934337153431255
P26_sent065,0.0,4.0049375,P26,-59.24880751413317,-64.93664776195179,1.51813451603609,16.749598297098046
P29_sent007,0.0,6.621125,P29,-50.34544862689394,-67.25432815551758,1.518130766622225,21.249114851011328
P21_sent080,0.0,3.9980625,P21,-51.89515939070352,-61.42651621500651,1.5125458243058003,16.751465200512524
P30_sent174,0.0,10.589875,P30,-36.87464522232734,-51.83437538146973,1.508406429824321,12.085210145230748
P30_sent014,0.0,5.6396875,P30,-38.5852493883452,-50.30388843311983,1.508406429824321,13.273988719712602
P29_sent155,0.0,7.3740625,P29,-51.20189732142857,-60.3823602554646,1.508406429824321,22.061419460940257
P28_sent172,0.0,4.079125,P28,-51.257095712746306,-63.86815583705902,1.5084014895514712,23.486955286216176
P30_sent148,0.0,8.1181875,P30,-37.507209683641975,-48.23077061301783,1.5083998427938545,12.27548535205565
P25_sent139,0.0,4.0098125,P25,-57.370506343984964,-64.08040960903826,1.5083998427938545,27.541490405905023
P28_sent008,0.0,4.7275625,P28,-45.37413332669851,-60.01381301879883,1.5054119738844123,23.55026846105158
P30_sent178,0.0,7.6709375,P30,-45.242565359477126,-49.67240207951243,1.5054100520211475,7.597668159494296
P28_sent194,0.0,4.6553125,P28,-49.95376902613147,-62.20853466457791,1.5054100520211475,20.974832421097812
P21_sent072,0.0,4.0029375,P21,-53.176247448178394,-63.07919954572405,1.4938080315762026,17.921408002040597
P28_sent058,0.0,4.390625,P28,-49.75914884868421,-61.95305263996124,1.4938048756218574,23.92523834702521
P28_sent096,0.0,3.0341875,P28,-50.96032755398671,-62.922096854762025,1.4832743779754554,24.846344560286305
P27_sent117,0.0,4.693375,P27,-50.07837593683084,-61.45944012535943,1.4804646575362719,21.28849991689755
P28_sent198,0.0,4.751,P28,-51.10211168736787,-65.16587670644124,1.480457290741149,24.299895544471504
P27_sent103,0.0,3.82325,P27,-47.71449424342105,-64.93040888650077,1.4774300722058429,23.96337874730891
P28_sent122,0.0,4.7275625,P28,-46.06244609209129,-60.66790242348948,1.477427815756954,25.310742505104606
P22_sent136,0.0,5.0039375,P22,-51.77983418047189,-56.1084171295166,1.477427815756954,17.077740453426372
P25_sent117,0.0,4.0039375,P25,-45.19479722832914,-61.74124086820162,1.4774255593080652,25.869984585531547
P27_sent007,0.0,3.5595625,P27,-44.3243290960452,-62.80399856567383,1.477214380952335,23.71178250620212
P21_sent102,0.0,4.005875,P21,-52.154742324561404,-58.42869081168339,1.4753710727757852,14.375146063098821
P28_sent012,0.0,4.9501875,P28,-49.420005070993916,-60.51315540220679,1.4717774609372214,24.62205386634321
P27_sent059,0.0,3.975625,P27,-52.35366358901515,-62.55055082166517,1.4717774609372214,26.032045710718698
P30_sent054,0.0,8.390625,P30,-36.75752548163082,-49.528018951416016,1.4634295703669153,11.313384337045298
P29_sent195,0.0,6.0713125,P29,-52.08366800103306,-66.66751974982185,1.4634295703669153,24.697240561241173
P28_sent158,0.0,4.0225,P28,-50.213349609375,-59.34854878606023,1.4634295703669153,22.494717034954324
P28_sent156,0.0,4.392625,P28,-55.82421875,-67.05763194435521,1.4634295703669153,22.41685027773999
P28_sent174,0.0,3.7588125,P28,-51.19054979946524,-61.81138949924045,1.4634295703669153,24.137005040653438
P23_sent197,0.0,10.0088125,P23,-34.485176582832835,-63.86243324279785,1.4634295703669153,26.749704359337322
P28_sent028,0.0,3.797875,P28,-47.58274429563492,-60.57029592990875,1.4634263285363085,25.305770821356916
P28_sent112,0.0,3.959,P28,-50.373537634835024,-60.653665924072264,1.4634263285363085,25.555529707128954
P26_sent115,0.0,4.002,P26,-56.28692780307789,-62.53539903702274,1.4634263285363085,17.329233353745046
P21_sent150,0.0,4.0039375,P21,-46.610057121545225,-56.655621570089586,1.455164073545941,22.215295552438707
P22_sent008,0.0,4.9990625,P22,-49.01200112951807,-55.15536771501814,1.4551603055668048,17.518697227527856
P30_sent076,0.0,7.4385,P30,-36.096784977257414,-49.10888499305362,1.4435574753685663,11.912945097834044
P30_sent018,0.0,6.09475,P30,-40.246660059719936,-51.0289623119213,1.4435574753685663,9.568493183931823
P29_sent031,0.0,4.2383125,P29,-46.897734004739334,-67.32469015855055,1.4435540728861018,22.431578929544347
P29_sent091,0.0,3.4931875,P29,-50.17428404178674,-65.70430605752128,1.4435540728861018,24.885939311391624
P28_sent182,0.0,3.6543125,P28,-44.699240272038566,-60.332665009932086,1.4435540728861018,24.99622027928516
P27_sent067,0.0,4.2539375,P27,-51.31232915927896,-62.92019114774816,1.4435540728861018,23.53713952961645
P26_sent045,0.0,4.0029375,P26,-60.3651705794598,-66.58383716681065,1.4435540728861018,13.167550191470253
P26_sent179,0.0,4.002,P26,-65.48079263505025,-68.08457601638068,1.4435540728861018,6.527900122920988
P26_sent033,0.0,4.0088125,P26,-59.61613016917293,-62.55564670562744,1.4435540728861018,14.716210621203704
P25_sent045,0.0,4.0049375,P25,-48.860665632851756,-61.14989967346192,1.4435540728861018,22.691367665016195
P25_sent085,0.0,4.006875,P25,-48.79104989035088,-63.29901341029576,1.4435540728861018,23.96095319527408
P25_sent121,0.0,4.0039375,P25,-51.27189659233668,-60.7496212550572,1.4435540728861018,22.53946860297434
P25_sent175,0.0,4.0029375,P25,-44.414052685301506,-62.96083068847656,1.4435540728861018,25.935381072556
P25_sent193,0.0,4.0039375,P25,-47.51355409861809,-62.4770235003847,1.4435540728861018,26.88104948433498
P21_sent148,0.0,4.0039375,P21,-47.67193388819096,-55.703422122531464,1.4435540728861018,21.147961223260868
P21_sent122,0.0,4.0039375,P21,-43.71419107255025,-58.17342987060547,1.4435540728861018,21.992436799139323
P21_sent198,0.0,4.0,P21,-48.93202830559045,-58.78942597218049,1.4435540728861018,22.146092919756747
P29_sent053,0.0,3.8555,P29,-48.432698567708336,-63.07020161069673,1.4435523716448697,20.9446927132573
P27_sent143,0.0,4.4706875,P27,-51.535331811797754,-66.04680860042572,1.4435506704036374,23.908933470034153
P22_sent092,0.0,5.0078125,P22,-45.47532956538076,-58.329634530203684,1.4261168282420569,19.062933759405578
P28_sent138,0.0,4.7754375,P28,-50.723517922794116,-60.56119258983715,1.4254531553971148,24.29651230382948
P29_sent093,0.0,5.15725,P29,-54.33840360530156,-67.37014796517111,1.4218369062493454,24.758570690761438
P22_sent178,0.0,4.9980625,P22,-53.70632137926707,-56.25788125326467,1.4218323040360432,15.974890527162119
P28_sent066,0.0,3.7021875,P28,-47.158866550611414,-59.36361427307129,1.4106523672111047,23.81818158484799
P27_sent147,0.0,5.13575,P27,-49.50210952758789,-63.785545838184845,1.4106523672111047,25.577433826842054
P29_sent117,0.0,3.7578125,P29,-47.14907983790107,-62.80102471744313,1.4092676094938312,19.638463666485173
P30_sent102,0.0,5.4716875,P30,-40.22722190366972,-50.06552715301514,1.3997264381525871,10.824943685298196
P30_sent158,0.0,4.630875,P30,-39.05833107375271,-48.78705360775902,1.3997212315584449,13.217771251030234
P27_sent047,0.0,4.5508125,P27,-53.38452417908388,-64.03090065403988,1.3997186282613736,23.928708068567772
P30_sent030,0.0,6.51075,P30,-37.207594014830505,-48.330999152604925,1.3997160249643024,12.875404583219265
P26_sent029,0.0,4.0029375,P26,-54.23513073178392,-56.78773524843413,1.3997160249643024,18.283834651428485
P21_sent196,0.0,3.9980625,P21,-51.43806434516332,-61.047157001495364,1.3997160249643024,23.743514752338932
P28_sent004,0.0,5.4619375,P28,-55.46538947610294,-64.04012398970754,1.3975850072645999,22.68045441179696
P30_sent180,0.0,4.6230625,P30,-37.82045686141304,-50.90949896107549,1.3975816076662724,14.402931023103426
P26_sent005,0.0,4.0039375,P26,-57.996540318781406,-62.42396490914481,1.3975816076662724,14.106617803190353
P22_sent140,0.0,4.9980625,P22,-52.06400994603413,-55.482629329600236,1.3975816076662724,20.390778442166337
P22_sent160,0.0,4.9941875,P22,-52.70955027037223,-58.323823044939736,1.3975816076662724,16.79922599541681
P28_sent184,0.0,3.5029375,P28,-50.597375628591955,-61.5412252674932,1.3975799078671087,22.64511971725848
P30_sent010,0.0,7.3105625,P30,-38.637267982681756,-50.67804328762755,1.397578208067945,11.308884635202181
P25_sent083,0.0,4.0029375,P25,-56.48958169755025,-62.68695177350725,1.39299694755788,27.238370821019764
P22_sent148,0.0,5.004875,P22,-45.75254141566265,-54.226814117431644,1.39299694755788,20.559412617647176
P21_sent180,0.0,4.0039375,P21,-51.44908625157035,-58.35840635299682,1.38099954352421,20.373052141612483
P27_sent025,0.0,4.1181875,P27,-53.58871951219512,-67.17699894760594,1.3761420150977433,24.673420962859353
P30_sent124,0.0,4.9990625,P30,-39.92571457705823,-50.405142123882584,1.3710977266116464,12.630901743690647
P30_sent078,0.0,4.288125,P30,-35.830986076551525,-50.11614572434198,1.3702632268840664,13.059776817893782
P26_sent149,0.0,4.0049375,P26,-57.594913041771356,-59.94923774232256,1.3702632268840664,13.336190312617955
P24_sent098,0.0,4.9970625,P24,-52.30107931726908,-59.27376753708412,1.3702632268840664,22.029831365053287
P22_sent192,0.0,4.9990625,P22,-51.690876788403614,-54.36974400487439,1.3702624035052582,14.772610524239111
P28_sent146,0.0,5.006875,P28,-52.143145666332664,-63.3303862032683,1.3702599333688332,24.319472988030412
P27_sent179,0.0,4.349625,P27,-47.14653399249423,-61.89778875535534,1.3441907083365234,25.171398816453387
