file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
P26_sent165,0.0,4.0029375,P26,-60.28370858197236,-60.55131317138672,1.9317940287432376,4.416398499793887
P28_sent018,0.0,5.630875,P28,-49.39224390040107,-56.85396881103516,1.9317921556537399,7.674817290500306
P25_sent027,0.0,4.0049375,P25,-48.46573688756281,-64.56382274627686,1.9291114753728151,24.526036054822733
P26_sent169,0.0,4.0039375,P26,-62.06403600031407,-63.97492891947429,1.929109780526549,8.388372834423148
P21_sent198,0.0,4.0,P21,-50.361077850188444,-62.15269660949707,1.9115075069754273,15.76712416481686
P23_sent093,0.0,10.0049375,P23,-35.7920371993988,-59.394806271507626,1.9098194694085693,22.80525760384031
P21_sent032,0.0,4.0029375,P21,-51.698168577261306,-56.91177473397091,1.9098194694085693,20.26346875411218
P27_sent175,0.0,4.8955,P27,-49.59356989626025,-67.97708559036255,1.908284542231043,18.213461814790826
P21_sent116,0.0,4.0039375,P21,-48.00354310615578,-59.4752082824707,1.8969264670192556,21.659536635948072
P21_sent178,0.0,4.002,P21,-47.144820783605525,-61.07071928544478,1.8969264670192556,21.060552260369434
P27_sent061,0.0,4.7178125,P27,-50.479018450797874,-62.42157229861698,1.896923555816682,26.23713614168941
P24_sent068,0.0,4.9990625,P24,-54.61051236194779,-64.94910372220554,1.896923555816682,22.781885418573694
P25_sent009,0.0,4.0039375,P25,-47.433520139761306,-64.59431041370739,1.8920883842593927,22.844128236717864
P24_sent140,0.0,5.002,P24,-54.583345099146584,-61.45084770689619,1.8920866433438186,25.232205576875376
P25_sent067,0.0,4.004875,P25,-54.87682062657035,-67.61441976373845,1.8920849024282447,26.25082745170288
P30_sent016,0.0,6.6396875,P30,-38.420337872922964,-47.0368168528487,1.8879280643484686,12.32568825944881
P28_sent070,0.0,4.600625,P28,-44.93085169896288,-63.30023193359375,1.8879280643484686,24.993411089424313
P21_sent042,0.0,4.0,P21,-55.34913826947236,-58.30160668317009,1.8767439508118544,19.877737286502416
P26_sent021,0.0,4.0039375,P26,-57.751594888505025,-59.365995570591515,1.8767417471118195,12.075728814836424
P29_sent063,0.0,4.0136875,P29,-55.664703751566414,-63.59059450361464,1.87601540325235,23.203976069709654
P30_sent010,0.0,7.3105625,P30,-39.07553690843621,-51.63008043242664,1.8654119247638112,11.200539618924346
P28_sent044,0.0,3.974625,P28,-45.93061214398734,-61.09353313446045,1.8654119247638112,24.822735014501223
P25_sent131,0.0,4.0088125,P25,-51.0257577537594,-61.45246516333686,1.8654119247638112,23.015964827187087
P23_sent081,0.0,10.0029375,P23,-40.17750735846693,-58.88260475364891,1.8580228435779946,25.030873774940776
P28_sent166,0.0,4.069375,P28,-49.58614004629629,-62.89137255760931,1.8333834079161697,24.267220429002613
P25_sent013,0.0,4.0029375,P25,-45.14037963253769,-63.61636755201552,1.8247517145135708,21.26631589566596
P21_sent008,0.0,4.0,P21,-48.08220300722362,-60.7754020690918,1.8247511974051762,19.874155467089647
P27_sent109,0.0,5.1035,P27,-53.60677595964567,-65.33508482846347,1.8178666133509753,24.81619309819708
